hostname,timestamp,r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id,wa,st
bryan-mint,1443752810928,1,0,161556,298904,218488,5173820,0,1,17,144,84,82,10,3,86,0,0
bryan-mint,1443752810928,2,0,161556,298208,218496,5173828,0,1,17,144,84,82,10,3,86,0,0
bryan-mint,1443752810928,0,0,161556,299016,218508,5173828,0,1,17,144,84,82,10,3,86,0,0
bryan-mint,1443752810928,1,0,161556,311964,218508,5173712,0,1,17,144,84,82,10,3,86,0,0
bryan-mint,1443752810928,0,0,161556,309300,218512,5173712,0,1,17,144,84,82,10,3,86,0,0
bryan-mint,1443752810928,1,0,161556,312212,218512,5173712,0,1,17,144,84,82,10,3,86,0,0
bryan-mint,1443752810928,1,0,161556,307096,218552,5173712,0,1,17,144,84,82,10,3,86,0,0
bryan-mint,1443752810928,2,0,161556,312376,218552,5173712,0,1,17,144,84,82,10,3,86,0,0
bryan-mint,1443752810928,0,0,161556,309256,218568,5173716,0,1,17,144,84,83,10,3,86,0,0
bryan-mint,1443752810928,1,0,161556,307112,218568,5173716,0,1,17,144,84,83,10,3,86,0,0
